lng,lat,elevation
-113.569606,53.529976,842500
-113.5635126,53.53071861,1650000
-113.5612391,53.52798303,1716500
-113.4585943,53.57342247,121500
-113.4863622,53.54992075,123500
-113.4694295,53.568071,132000
-113.4802701,53.56749351,132000
-113.4636029,53.56902393,139500
-113.4715975,53.5662262,141000
-113.4346405,53.59081411,143000
-113.4859931,53.55562753,145500
-113.4772419,53.56442957,154000
-113.5255801,53.58508307,159500
-113.5005105,53.57491003,162000
-113.3988338,53.57337972,167500
-113.4822675,53.57179746,175000
-113.5171064,53.59102931,176000
-113.4778867,53.54501364,178000
-113.4693041,53.5717137,178500
-113.4893177,53.57676556,180000
-113.4694534,53.57171212,180500
-113.4010332,53.57324248,180500
-113.3979634,53.57207687,180500
-113.4711785,53.56560479,182000
-113.5161825,53.55271169,182000
-113.4864312,53.55555303,183500
-113.4771307,53.56722373,184000
-113.4049853,53.57147399,184500
-113.4779212,53.54511263,185000
-113.477213,53.57960451,186000
-113.4887238,53.55516297,187000
-113.4792091,53.55025375,187500
-113.3950842,53.57453574,188500
-113.5294696,53.58781667,189500
-113.4868916,53.57646313,191500
-113.4164198,53.57125624,192500
-113.4838228,53.57677343,192500
-113.4884322,53.55521339,194000
-113.4694458,53.5679722,196500
-113.4862852,53.55557936,197000
-113.4898917,53.55495679,198000
-113.4695817,53.57531382,200500
-113.4296003,53.57340906,202000
-113.4041078,53.57337016,203000
-113.4622565,53.5725242,204500
-113.4824039,53.57215749,205000
-113.4868693,53.55547853,206000
-113.4836221,53.5644438,206500
-113.4019133,53.5709285,206500
-113.4861392,53.55560344,207000
-113.4684978,53.59412785,207500
-113.4690501,53.59412581,207500
-113.4825608,53.55571831,207500
-113.3885855,53.60255697,208000
-113.5168201,53.55276819,208500
-113.498121,53.590175,209000
-113.4982042,53.5902381,209000
-113.498272,53.5902559,209000
-113.498814,53.5905276,209000
-113.498887,53.590546,209000
-113.4751395,53.57220447,209000
-113.4989449,53.5906269,209500
-113.4921831,53.5533625,209500
-113.4824168,53.55574689,209500
-113.4685898,53.59412826,210000
-113.4010394,53.57092862,210000
-113.4041128,53.57092599,210500
-113.4870748,53.55536484,211500
-113.4332971,53.59252408,212000
-113.4010387,53.57120269,212000
-113.497403,53.5898375,213000
-113.4981219,53.5902386,213000
-113.4847676,53.5734145,214000
-113.4683899,53.5946553,214500
-113.497506,53.589867,215000
-113.4986941,53.5904312,215000
-113.4987495,53.5904776,215000
-113.4972836,53.5898274,215500
-113.4817676,53.56414374,215500
-113.4010347,53.57269434,215500
-113.4517224,53.59414877,216000
-113.4696023,53.59412152,216500
-113.4696944,53.59411969,216500
-113.4172923,53.57207373,217000
-113.3877459,53.60885858,217500
-113.499112,53.590673,218500
-113.4049833,53.57206706,218500
-113.3988404,53.57120514,218500
-113.4977592,53.5899926,219000
-113.4686819,53.59412867,219000
-113.4691421,53.59412622,219000
-113.4695103,53.59412336,219000
-113.395543,53.5748638,219500
-113.5250567,53.60954067,220500
-113.4711936,53.5662277,220500
-113.4978401,53.59003,221000
-113.5160448,53.55271113,221000
-113.4979225,53.5900684,221500
-113.4990216,53.5906482,221500
-113.5052732,53.58525918,221500
-113.4846156,53.57341609,222000
-113.4010344,53.57282913,222000
-113.4705603,53.58511735,222500
-113.468935,53.5941253,222500
-113.497671,53.58993,222500
-113.4329409,53.57335305,222500
-113.4650989,53.56594844,223500
-113.4985848,53.5904038,223500
-113.4915116,53.57300978,223500
-113.3988366,53.57236881,223500
-113.3881583,53.59157617,224000
-113.3946224,53.57486589,224000
-113.3965274,53.57447339,224500
-113.4041102,53.5720672,224500
-113.3965268,53.57460818,225000
-113.4850717,53.57341356,225000
-113.5019116,53.58524747,225000
-113.3988398,53.57134442,225000
-113.3948526,53.57486256,225000
-113.5250708,53.60962159,225500
-113.4333143,53.57357947,225500
-113.4101169,53.58854583,226000
-113.4975823,53.5899154,226000
-113.497987,53.590084,226000
-113.4857011,53.55567794,226000
-113.4620552,53.5722615,226000
-113.4891613,53.55508846,226000
-113.3866564,53.59302645,226500
-113.4103275,53.58842556,226500
-113.502837,53.615643,227000
-113.4620076,53.572441,227000
